name,sku,cost,manufacturer,bullets,Image_URL,description,Specsheet_URL,Warranty_URL,Manual_URL
"C12F 25"" Solid Door Commercial Reach-in Freezer-11 Cu. Ft.",C12F,1088,COLDLINE,"
                            <ul>
<li>Stainless steel <span data-mce-fragment=""1"">interior and exterio</span>r</li>
<li>Refrigeration system keeps food at safe temperatures between -8°F and 0°F (-22°C to -18°C)</li>
<li>Self-closing doors with 90 degree stay-open feature with locks and keys included</li>
<li>Adjustable heavy-duty PVC coated shelves</li>
<li>Recessed door handle</li>
<li>Interior lighting</li>
<li>Electronic control system makes it easy to adjust temperature set point and defrost frequency</li>
<li>Preinstalled heavy-duty casters with brakes</li>
<li>Removable installation board makes it easy to access condenser coil for cleaning and service</li>
<li>Hydro-Carbon R290 refrigerant</li>
<li>Equipped with NEMA 5-15P plug</li>
</ul>
                          ",https://usrbrands.com/cdn/shop/files/c12_angle_1_130x.jpg?v=1755746583,"
      The narrow 23.5"" depth stainless steel reach-in commercial freezer is perfect for small restaurants, delis, or bakeries, cafes. With a spacious cabinet and adjustable shelves, the unit can still fit in narrow hallways, upstairs, or small kitchens. The 2/3 HP compressor provides plenty of power for hot kitchens. The bottom mount raises the bottom shelf for easier access. With lockable wheels, door locks, digital temperature control, and coated corrosion resistant shelves, it has all of the features of more expensive commercial units at a reasonable price.
    ",https://usr-content.s3.us-east-2.amazonaws.com/coldline/c12f-specsheet.pdf,https://usr-content.s3.us-east-2.amazonaws.com/coldline/refrigeration-warranty.pdf,https://usr-content.s3.us-east-2.amazonaws.com/coldline/reach-in-series-manual.pdf
"C12R 25"" Solid Door Commercial Reach-In Refrigerator-11 Cu. Ft.",C12R,970,COLDLINE,"
                            <ul>
<li>Stainless steel interior and exterior</li>
<li>Refrigeration system keeps food at safe temperatures between 33°F and 41°F (0.5°C to 5°C)</li>
<li>Self-closing doors with 90 degree stay-open feature with locks and keys included</li>
<li>Adjustable heavy-duty PVC coated shelves</li>
<li>Recessed door handle</li>
<li>Interior lighting</li>
<li>Electronic control system makes it easy to adjust temperature set point and defrost frequency</li>
<li>Preinstalled heavy-duty casters with brakes</li>
<li>Removable installation board makes it easy to access condenser coil for cleaning and service</li>
<li>Hydro-Carbon R290 refrigerant</li>
<li>Equipped with NEMA 5-15P plug</li>
</ul>
                          ",https://usrbrands.com/cdn/shop/files/c12_angle_130x.jpg?v=1755591295,"
      The narrow 23.5"" depth stainless steel reach-in commercial refrigerator is perfect for small restaurants, delis, or bakeries, cafes. With a spacious cabinet and adjustable shelves, the unit can still fit in narrow hallways, upstairs, or small kitchens. The 1/3 HP compressor provides plenty of power for hot kitchens. The bottom mount raises the bottom shelf for easier access. With lockable wheels, door locks, digital temperature control, and coated corrosion resistant shelves, it has all of the features of more expensive commercial units at a reasonable price.
    ",https://usr-content.s3.us-east-2.amazonaws.com/coldline/c12r-specsheet.pdf,https://usr-content.s3.us-east-2.amazonaws.com/coldline/refrigeration-warranty.pdf,https://usr-content.s3.us-east-2.amazonaws.com/coldline/reach-in-series-manual.pdf
"CF44 44"" Commercial Chest Freezer - 10 cu. ft.",CF44,298,COLDLINE,"
                            <ul>
 	<li>Exterior cabinet made of white powdered coated steel</li>
 	<li>External bottom in galvanized steel</li>
 	<li>Interior liner made of pre-painted steel</li>
 	<li>Manual controls</li>
 	<li>Solid lids with injected polyurethane, with heavy duty hinges</li>
 	<li>Manual defrost</li>
 	<li>CFC-free foamed in place</li>
 	<li>(1) Interior basket included</li>
 	<li>10.0 cubic feet</li>
 	<li>Holds temperature between -10°F to 0°F</li>
 	<li>(4) Casters total, (2) with brakes</li>
 	<li>cETLus, ETL-S, NSF</li>
</ul>
                          ",https://usrbrands.com/cdn/shop/products/cf44_2_130x.jpg?v=1612898160,"
      This Coldline commercial chest freezer sets new standards for performance and durability. Featuring a robust white powdered coated stainless steel design, a high-efficiency refrigeration system and a manual control thermometer, this freezer is meant for ice cream shops, concession stands, restaurants, markets, and convenience stores. Safely store your ice cream, burger patties, entrees and other frozen items. Bring reliability to your commercial kitchen with a Coldline freezer that’s designed to perform smoothly over the long run.
    ",https://usr-content.s3.us-east-2.amazonaws.com/coldline/cf44-specsheet.pdf,https://usr-content.s3.us-east-2.amazonaws.com/coldline/coldline-one-year-warranty.pdf,https://usr-content.s3.us-east-2.amazonaws.com/coldline/chest-freezer-series-manual.pdf
CHOCO5 16” 5 Liter Hot Beverage Dispenser,CHOCO5,303,COLDLINE,"
                            <ul>
    <li>Holds Temperature Between 143.6°F to 194°F</li>
    <li>Adjustable Temperature Control</li>
    <li>Rotating Paddle</li>
    <li>Drip Tray</li>
    <li>Overheat Sensor</li>
    <li>Easy to Clean</li>
    <li>Consistant Flavor</li>
    <li>Anti-clog Facuet</li>
    <li>Food-grade Anti-cracking Bowl</li>      
</ul>
                          ",https://usrbrands.com/cdn/shop/files/hot-chocolate-5l_130x.jpg?v=1702886955,"
      Tired of brewing coffee all day in your restaurant, diner, or cafeteria? This Coldline commercial beverage dispenser is designed to keep your best-selling hot beverages at the correct temperature - ready for serving. Features a electronic heating system, advanced thermostatic temperature control, and a heavy-duty stirring paddle. Quickly and conveniently keep hot chocolate and coffee ready for customer orders throughout the day. Save time and streamline your hot beverage service lineup with this reliable and durable hot drink dispenser.
    ",https://usr-content.s3.us-east-2.amazonaws.com/coldline/choco5-specsheet.pdf,https://usr-content.s3.us-east-2.amazonaws.com/coldline/coldline-one-year-warranty.pdf,https://usr-content.s3.us-east-2.amazonaws.com/coldline/choco-series-manual.pdf
CHOCO10R 16” 10 Liter Red Hot Beverage Dispenser,CHOCO10R,330,COLDLINE,"
                            <ul>
<li>Easy to operate with digital controller</li>
<li>Strong non-stick mixing paddle</li>
<li>2.6 Gallon / 10 liter capacity</li>
<li>Electronic heating system</li>
<li>Thermal protector</li>
</ul>
                          ",https://usrbrands.com/cdn/shop/products/hot-chocolate-red_130x.jpg?v=1639132018,"
      Tired of brewing coffee all day in your restaurant, diner, or cafeteria? This Coldline commercial beverage dispenser is designed to keep your best-selling hot beverages at the correct temperature - ready for serving. Features a electronic heating system, advanced thermostatic temperature control, and a heavy-duty stirring paddle. Quickly and conveniently keep hot chocolate and coffee ready for customer orders throughout the day. Save time and streamline your hot beverage service lineup with this reliable and durable hot drink dispenser.
    ",https://usr-content.s3.us-east-2.amazonaws.com/coldline/choco10r-specsheet.pdf,https://usr-content.s3.us-east-2.amazonaws.com/coldline/coldline-one-year-warranty.pdf,https://usr-content.s3.us-east-2.amazonaws.com/coldline/choco-series-manual.pdf
CHOCO10 16” 10 Liter Hot Beverage Dispenser,CHOCO10,330,COLDLINE,"
                            <ul>
<li>Easy to operate with digital controller</li>
<li>Strong non-stick mixing paddle</li>
<li>2.6 Gallon / 10 liter capacity</li>
<li>Electronic heating system</li>
<li>Thermal protector</li>
</ul>
                          ",https://usrbrands.com/cdn/shop/products/hot-chocolate_130x.jpg?v=1639131912,"
      Tired of brewing coffee all day in your restaurant, diner, or cafeteria? This Coldline commercial beverage dispenser is designed to keep your best-selling hot beverages at the correct temperature - ready for serving. Features a electronic heating system, advanced thermostatic temperature control, and a heavy-duty stirring paddle. Quickly and conveniently keep hot chocolate and coffee ready for customer orders throughout the day. Save time and streamline your hot beverage service lineup with this reliable and durable hot drink dispenser.
    ",https://usr-content.s3.us-east-2.amazonaws.com/coldline/choco10-specsheet.pdf,https://usr-content.s3.us-east-2.amazonaws.com/coldline/coldline-one-year-warranty.pdf,https://usr-content.s3.us-east-2.amazonaws.com/coldline/choco-series-manual.pdf
CBD-1 Single 3 Gallon Bowl Refrigerated Beverage Dispenser with Stirring System,CBD-1,353,COLDLINE,"
                            <ul>
<li>Food-grade high-density polycarbonate unbreakable container</li>
<li>Stainless steel tap lever</li>
<li>Middle or high back pressure compressor</li>
<li>R290 gas refrigerant</li>
<li>Stirring system</li>
<li>Holds the temperature between <span data-mce-fragment=""1"">44.6 - 53.6°F</span>
</li>
</ul>
                          ",https://usrbrands.com/cdn/shop/files/cbd-1-web_2_130x.jpg?v=1706609023,"
      This commercial beverage dispenser is designed for restaurants and diners that want to offer refreshingly chilled beverages. Boost impulse sales in your food service business by offering guests dispense juice, lemonade and other cold drinks. Take advantage of simple controls to set the appropriate product temperature, and keep your most popular cold drinks flowing to increase profitability.
    ",https://usr-content.s3.us-east-2.amazonaws.com/coldline/cbd-1-specsheet.pdf,https://usr-content.s3.us-east-2.amazonaws.com/coldline/coldline-one-year-warranty.pdf,https://usr-content.s3.us-east-2.amazonaws.com/coldline/cbd-series-manual.pdf
"CTP48SS 48"" Refrigerated 4 Pan Stainless Steel Top Cover Countertop Salad Bar",CTP48SS,362,COLDLINE,"
                            
<ul>
 	<li>Holds temperature between 33°F to 41°F</li>
 	<li>AISI 304 stainless steel construction</li>
 	<li>Digital temperature controller and display</li>
 	<li>Removable stainless steel cover</li>
 	<li>Static cooling system with continuous evaporator</li>
 	<li>CFC free refrigerant and foam</li>
 	<li>Fits 4 x 1/3 size stainless steel pans (included)</li>
</ul>

                          ",https://usrbrands.com/cdn/shop/products/vrx1200-ss-1_130x.jpg?v=1612898154,"
      Keep salad, condiments, toppings, and other food items cold on this four pan countertop salad bar. This commercial refrigerated salad bar is perfect for pizza shops, restaurants, and food service establishments that serve a variety of cold salads. A self-contained unit, our salad bar refrigerator maximizes energy consumption and consistently maintains your toppings within the 33°F to 41°F temperature range. A digital temperature controller makes it super easy for your staff to adjust the temperature, while an automatic defrosts feature increases the efficiency of the unit.
    ",https://usr-content.s3.us-east-2.amazonaws.com/coldline/ctp48ss-specsheet.pdf,https://usr-content.s3.us-east-2.amazonaws.com/coldline/coldline-one-year-warranty.pdf,https://usrbrands.com/products/ctp48ss-48-refrigerated-4-pan-stainless-steel-top-cover-countertop-salad-bar
XS160 26” Curved Glass Top Display Ice Cream Freezer - 6.0 Cu. Ft.,XS160,385,COLDLINE,"
                            <ul>
<li>Curved glass top lid with two sliding doors</li>
<li>White painted steel exterior</li>
<li>Gray plastic door frame</li>
<li>Embossed aluminum interior</li>
<li>Foamed-in-place polyurethane insulation</li>
<li>Preinstalled low profile casters with brakes</li>
<li>Built-in lock for security</li>
<li>LED lighting interior</li>
<li>Holds temperature -15°F and below</li>
<li>Rear drain plug for manual defrosting</li>
<li>Coated wire baskets included</li>
<li>Hydro-Carbon R290 refrigerant</li>
</ul>
                          ",https://usrbrands.com/cdn/shop/files/xs160-ice-cream-freezer-angle_130x.jpg?v=1755666291,"
      This Coldline curved glass top ice cream display freezer is designed to boost your impulse sales of ice cream, popsicle, pints of sorbet, and frozen appetizers. It features a high-efficiency refrigeration system, a durable stainless steel design, and a high-accessibility curved glass top display. Built for school concession stands, diners, and convenience stores, this ice cream display machine keeps top-selling frozen novelties within easy reach to boost selling potential.
    ",https://usr-content.s3.us-east-2.amazonaws.com/coldline/xs160-specsheet.pdf,https://usr-content.s3.us-east-2.amazonaws.com/coldline/coldline-one-year-warranty.pdf,https://usrbrands.com/products/xs160-26-curved-glass-top-display-diamond-series-ice-cream-freezer-6-0-cu-ft
"CTP60SS 60"" Refrigerated 6 Pan Stainless Steel Top Cover Countertop Salad Bar",CTP60SS,395,COLDLINE,"
                            
<ul>
 	<li>Holds temperature between 33°F to 41°F</li>
 	<li>AISI 304 stainless steel construction</li>
 	<li>Digital temperature controller and display</li>
 	<li>Removable stainless steel cover</li>
 	<li>Static cooling system with continuous evaporator</li>
 	<li>CFC free refrigerant and foam</li>
 	<li>Fits 6 x 1/3 size stainless steel pans (included)</li>
</ul>

                          ",https://usrbrands.com/cdn/shop/products/vrx1500-ss_2_130x.jpg?v=1612898156,"
      Keep salad, condiments, toppings, and other food items cold on this six pan countertop salad bar. This commercial refrigerated salad bar is perfect for pizza shops, restaurants, and food service establishments that serve a variety of cold salads. A self-contained unit, our salad bar refrigerator maximizes energy consumption and consistently maintains your toppings within the 33°F to 41°F temperature range. A digital temperature controller makes it super easy for your staff to adjust the temperature, while an automatic defrosts feature increases the efficiency of the unit.
    ",https://usr-content.s3.us-east-2.amazonaws.com/coldline/ctp60ss-specsheet.pdf,https://usr-content.s3.us-east-2.amazonaws.com/coldline/coldline-one-year-warranty.pdf,https://usrbrands.com/products/ctp60ss-60-refrigerated-6-pan-stainless-steel-top-cover-countertop-salad-bar
