Brand,SKU,Dealer Price
Coldline,AOC-28-B,2032.0
Coldline,AOC-36-B,2449.0
Coldline,AOC-46-B,2804.0
Coldline,BBC-25,632.0
Coldline,BBC-50,880.0
Coldline,BBC-65,1124.0
Coldline,BBC-80,1290.0
Coldline,BD15-PUMP,298.0
Coldline,C-1FE,1053.0
Coldline,C-1FF-TM,1633.0
Coldline,C-1RE,968.0
Coldline,C-2FE,1604.0
Coldline,C-2FF-TM,2388.0
Coldline,C-2RE,1475.0
Coldline,C-2RF,2792.0
Coldline,C-3FE,2851.0
Coldline,C-3FK,3099.0
Coldline,C-3RE,2578.0
Coldline,C-3RK,3024.0
Coldline,C19F,1198.0
Coldline,C19R,1033.0
Coldline,C35F,1694.0
Coldline,C35R,1551.0
Coldline,CB36,1207.0
Coldline,CB48,1304.0
Coldline,CB52,1368.0
Coldline,CB60,1562.0
Coldline,CB72,1730.0
Coldline,CBB-48,1024.0
Coldline,CBB-48G,924.0
Coldline,CBB-48G-SL,924.0
Coldline,CBB-60,1100.0
Coldline,CBB-60G,1074.0
Coldline,CBB-60G-SL,1074.0
Coldline,CBB-72,1383.0
Coldline,CBB-72G,1301.0
Coldline,CBB-72G-SL,1301.0
Coldline,CBD-1,353.0
Coldline,CBD-2,536.0
Coldline,CBD-3,718.0
Coldline,CBT-36,1307.0
Coldline,CBT-48,1674.0
Coldline,CBT-60,2136.0
Coldline,CBT-72,2652.0
Coldline,CDD-1,752.0
Coldline,CDD-4,1624.0
Coldline,CDD-48,1113.0
Coldline,CDD-60,1223.0
Coldline,CDD-72,1544.0
Coldline,CF44,298.0
Coldline,CF60,507.0
Coldline,CF76,708.0
Coldline,CF91,984.0
Coldline,CHOCO10,330.0
Coldline,CHOCO10R,330.0
Coldline,CHOCO5,303.0
Coldline,CLM-54R,1331.0
Coldline,CPT-44,1189.0
Coldline,CPT-72,1553.0
Coldline,CPT-92,2028.0
Coldline,CSG-3036,300.0
Coldline,CSG-3048,335.0
Coldline,CSG-3060,426.0
Coldline,CSG-3072,528.0
Coldline,CTP48SG,399.0
Coldline,CTP48SS,362.0
Coldline,CTP60SG,432.0
Coldline,CTP60SS,395.0
Coldline,CTP70SG,484.0
Coldline,CTP70SS,447.0
Coldline,CTP80SG,578.0
Coldline,CTP80SS,538.0
Coldline,D10-B,975.0
Coldline,D12-B,1322.0
Coldline,D12-W,1322.0
Coldline,D12-W-L,1322.0
Coldline,D30-B,1668.0
Coldline,D4-B,4611.0
Coldline,D48-B,1748.0
Coldline,D53-B,1854.0
Coldline,D53-W,1971.0
Coldline,D80-B,3803.0
Coldline,DC36-B,1067.0
Coldline,DC36-SS,1067.0
Coldline,DC48-B,1241.0
Coldline,DC48-SS,1241.0
Coldline,DC64-B,1591.0
Coldline,DC64-SS,1591.0
Coldline,DC80-B,1733.0
Coldline,DC80-SS,1733.0
Coldline,DIP-46,1403.0
Coldline,DIP-66,1975.0
Coldline,DIP-88,2496.0
Coldline,DP-160,577.0
Coldline,DP-160-FSG,745.0
Coldline,DP-360,983.0
Coldline,DP-360-FSG,1192.0
Coldline,DP-560,1252.0
Coldline,DP-560-FSG,1569.0
Coldline,DPL-10X10,863.0
Coldline,DPL-10X12,1007.0
Coldline,DPL-10X14,1150.0
Coldline,DPL-10X16,1438.0
Coldline,DPL-10X18,1581.0
Coldline,DPL-10X20,1725.0
Coldline,DPL-12X12,1177.0
Coldline,DPL-12X14,1345.0
Coldline,DPL-12X16,1681.0
Coldline,DPL-12X18,1849.0
Coldline,DPL-12X20,2017.0
Coldline,DPL-6X10,584.0
Coldline,DPL-6X12,682.0
Coldline,DPL-6X6,390.0
Coldline,DPL-6X8,487.0
Coldline,DPL-8X10,717.0
Coldline,DPL-8X12,836.0
Coldline,DPL-8X14,956.0
Coldline,DPL-8X16,1194.0
Coldline,DPL-8X18,1314.0
Coldline,DPL-8X20,1433.0
Coldline,DPL-8X8,598.0
Coldline,G10-B,611.0
Coldline,G10-W,611.0
Coldline,G12E-B,661.0
Coldline,G15-B,877.0
Coldline,G15-W,877.0
Coldline,G28-B,863.0
Coldline,G4-B,3696.0
Coldline,G40S-B,1249.0
Coldline,G48-B,1390.0
Coldline,G53-B,1374.0
Coldline,G53-W,1452.0
Coldline,G53S-B,1374.0
Coldline,G80-B,2016.0
Coldline,G8E-B,585.0
Coldline,GLD54R,1149.0
Coldline,GRANITA-1N,916.0
Coldline,GRANITA-1X,1151.0
Coldline,GRANITA-2N,1400.0
Coldline,GRANITA-2X,1561.0
Coldline,GRANITA-3N,1692.0
Coldline,GRANITA-3X,2352.0
Coldline,HDC48,1997.0
Coldline,HDC72,2742.0
Coldline,HDC84,3146.0
Coldline,HDL48,1833.0
Coldline,HDL60,2239.0
Coldline,HDL72,2567.0
Coldline,HDL72-DS,2735.0
Coldline,HDL84,2896.0
Coldline,Ice,617.0
Coldline,KDS48,3636.0
Coldline,KDS60,4259.0
Coldline,KDS72,4888.0
Coldline,LDC48,1797.0
Coldline,LDC48-F,1919.0
Coldline,LDC72,2063.0
Coldline,LDC72-F,2308.0
Coldline,LDC98,3150.0
Coldline,LDC98-F,3393.0
Coldline,MC49,1072.0
Coldline,MC58,1248.0
Coldline,PDR-60,1408.0
Coldline,PDR-60-SG,1911.0
Coldline,PDR-60-SS,1874.0
Coldline,PDR-80,1567.0
Coldline,PDR-80-SG,2135.0
Coldline,PDR-80-SS,2098.0
Coldline,PFC-2-SB,42.0
Coldline,SD34,357.0
Coldline,SD46,418.0
Coldline,SD54,518.0
Coldline,SDC48,1703.0
Coldline,SDC48-F,1885.0
Coldline,SDC72,2190.0
Coldline,SDC72-F,2444.0
Coldline,SDC98,3000.0
Coldline,SDC98-F,3340.0
Coldline,SMP27,812.0
Coldline,SMP27-T,777.0
Coldline,SMP36,1074.0
Coldline,SMP36-T,1027.0
Coldline,SMP48,1073.0
Coldline,SMP48-T,1022.0
Coldline,SMP60,1384.0
Coldline,SMP60-T,1327.0
Coldline,SMP72,1613.0
Coldline,SMP72-T,1546.0
Coldline,SOC-51-B,3174.0
Coldline,SOC-51-W,3174.0
Coldline,SOC-61-B,3563.0
Coldline,SOC-61-W,3563.0
Coldline,SOC-76-220-B,4258.0
Coldline,SOC-76-220-W,4258.0
Coldline,SOCD-51-B,3350.0
Coldline,SOCD-61-B,3896.0
Coldline,SOCD-76-B,4656.0
Coldline,SP27,768.0
Coldline,SP36,921.0
Coldline,SP48,1030.0
Coldline,SP48T,985.0
Coldline,SP60,1304.0
Coldline,SP60T,1251.0
Coldline,SP72,1425.0
Coldline,SP72T,1366.0
Coldline,SPN-29,951.0
Coldline,SPN-48,1330.0
Coldline,SPN-60,1505.0
Coldline,SPN-72,1763.0
Coldline,T-1FE,1056.0
Coldline,T-1RE,971.0
Coldline,T-2FE,1646.0
Coldline,T-2RE,1472.0
Coldline,UC-27F,813.0
Coldline,UC-27R,738.0
Coldline,UC-36F,986.0
Coldline,UC-36FT,944.0
Coldline,UC-36R,934.0
Coldline,UC-48F,1193.0
Coldline,UC-48FT,1141.0
Coldline,UC-48R,1015.0
Coldline,UC-48RT,974.0
Coldline,UC-60F,1542.0
Coldline,UC-60FT,1430.0
Coldline,UC-60R,1390.0
Coldline,UC-60RT,1416.0
Coldline,UC-72R,1603.0
Coldline,UC-72RT,1541.0
Coldline,UCN-29R,780.0
Coldline,UCN-48F,1350.0
Coldline,UCN-48R,1069.0
Coldline,UCN-60R,1387.0
Coldline,UCN-72R,1659.0
Coldline,WCFP8x14-FL,7141.0
Coldline,WCFP8x16-FL,7932.0
Coldline,WCFP8x18-FL,8399.0
Coldline,WCFP8x20-FL,8872.0
Coldline,WCP10X10,3687.0
Coldline,WCP10X10-FL,4438.0
Coldline,WCP10X12,3993.0
Coldline,WCP10X12-FL,4870.0
Coldline,WCP10X14,4299.0
Coldline,WCP10X14-FL,5301.0
Coldline,WCP10X16,4911.0
